"Rzeczywista","Przewidziana","P_BARBUNYA","P_BOMBAY","P_CALI","P_DERMASON","P_HOROZ","P_SEKER","P_SIRA"
"SEKER","SEKER",2.07759695368019e-11,8.91983053667689e-31,1.78478971752264e-14,0.000173579684252493,3.00061032473225e-07,0.999826120233534,3.86869594308679e-13
"SEKER","SEKER",8.69388254967309e-12,3.15591831560639e-35,9.06347305080991e-18,3.73672137369967e-06,1.37247162271111e-09,0.999996261897461,5.38751981971049e-19
"SEKER","SEKER",9.69698633326198e-12,1.92540008452361e-34,1.14862952837759e-16,1.08920124326126e-05,9.19718951517833e-09,0.999989098780681,7.92907418210906e-18
"SEKER","SEKER",2.13620928532872e-12,1.94131933643934e-31,2.16291014006251e-14,0.000113652870555558,2.59875116227959e-07,0.999886087252113,5.74466604712106e-14
"SEKER","SEKER",2.03931065703678e-12,2.65896214871812e-32,1.44651550952738e-14,8.70116952915773e-05,1.87158620806409e-07,0.999912801144028,5.64082208875039e-15
"SEKER","SEKER",1.45005135868348e-11,1.69540807186193e-34,5.92368395386532e-17,3.535205335201e-06,2.38209978295272e-08,0.999996440959167,4.92083162330229e-18
"SEKER","SEKER",6.39231043278624e-12,4.40832925628449e-33,5.723109045014e-15,6.62203504123704e-05,1.12090751517106e-07,0.999933667552438,7.15382036089161e-16
"SEKER","SEKER",7.72961680675945e-12,8.00229311294025e-36,8.5579099071641e-19,9.31994915507581e-07,4.27262141693561e-10,0.999999067570093,5.53206890142556e-20
"SEKER","SEKER",5.14921816177257e-13,6.36903336056618e-28,4.03518509249882e-15,0.00462414645923138,1.5128265783892e-10,0.995375852840443,5.48523918068181e-10
"SEKER","SEKER",8.89504181362630e-12,2.55177917230552e-35,5.76783023585908e-18,2.57724925064308e-06,1.31012563302174e-09,0.999997421431729,3.58615992002048e-19
"SEKER","SEKER",1.68776615027595e-11,7.96716179546039e-33,2.15231173323926e-15,1.79152533540535e-05,3.3558237010706e-07,0.999981749147395,9.0786503863217e-16
"SEKER","SEKER",1.00988107819203e-11,6.40136687186489e-34,8.19952613424266e-16,3.34571820954888e-05,2.51593778440348e-08,0.999966517648427,5.57344340827091e-17
"SEKER","SEKER",7.374870876759e-12,1.90014437113338e-31,4.54157050042519e-15,3.08432136116438e-05,3.80473235415601e-07,0.99996877630574,3.30483045905218e-14
"SEKER","SEKER",8.28135425911588e-12,1.35262214482929e-35,2.04472519388981e-18,1.48524210853557e-06,7.11897817425663e-10,0.999998514037712,1.29393057407786e-19
"SEKER","SEKER",6.01611671802074e-13,4.38400859811843e-31,1.06441887668287e-13,0.00045613401734357,1.72082937236123e-07,0.999543693898782,2.28807524981628e-13
"SEKER","SEKER",2.55343575502446e-11,7.09303824576565e-34,2.56862999487833e-16,2.90061271676607e-06,3.00199698795533e-07,0.99999679916205,3.09687383776125e-17
"SEKER","SEKER",9.49084846915917e-12,3.21562616369018e-34,1.9087316460262e-16,1.14237458339244e-05,1.71235292383341e-08,0.999988559121146,1.52113972514521e-17
"SEKER","SEKER",1.14186496058842e-11,1.17619210584756e-34,4.49590898753033e-17,4.83221727047805e-06,9.26783107409277e-09,0.99999515850348,3.27368222480424e-18
"SEKER","SEKER",2.65266633239863e-11,4.86946632842797e-34,1.5260087721586e-16,1.99020965803729e-06,2.62651577203346e-07,0.999997747112238,1.73633745154177e-17
"SEKER","SEKER",9.78387620166658e-12,2.57472753148566e-34,1.65495209525338e-16,1.23008008490188e-05,1.26695561196573e-08,0.999987686519811,1.18981882487685e-17
"SEKER","SEKER",1.05582503738148e-11,4.46127071167394e-33,1.93488982112306e-15,1.36095048487157e-05,3.46307654787325e-07,0.999986044176936,4.20775712584976e-16
"SEKER","SEKER",5.56528447022608e-12,5.37248241843386e-33,4.68794193330745e-15,5.20515797786235e-05,1.19027034280133e-07,0.999947829387616,7.85294419373932e-16
"SEKER","SEKER",1.38971095219279e-13,1.35987656418508e-30,4.65361743186316e-15,0.000168780375200517,8.21520688531401e-09,0.999831211409167,2.81749818906115e-13
"SEKER","SEKER",8.55049460682103e-12,9.28530092068883e-36,9.85702909451224e-19,8.51264467364476e-07,6.17701626118593e-10,0.999999148109281,6.60186499400326e-20
"SEKER","SEKER",7.73191489633697e-12,3.7619436795113e-32,5.19605879027605e-14,0.000107535579113128,1.23892123507581e-06,0.999891225491855,1.29426756860554e-14
"SEKER","SEKER",3.00955522374627e-12,7.55839367496502e-32,1.2092919589788e-14,6.07330439328445e-05,3.21598567686001e-07,0.999938945354462,1.57270978076721e-14
"SEKER","SEKER",4.32169054057583e-12,3.63985396189957e-33,3.9361073145385e-15,6.69850054298824e-05,5.7334851510311e-08,0.999932957655393,5.1757889574424e-16
"SEKER","SEKER",3.82243000841521e-13,3.32299328798185e-30,4.44527734380902e-15,0.000245568325142919,7.15696568648437e-09,0.999754424516616,8.88908139422433e-13
"SEKER","SEKER",9.63924272294874e-12,1.08272953644226e-34,6.10421568939148e-17,9.6863365692581e-06,4.58334513316256e-09,0.999990309070446,3.67927354190349e-18
"SEKER","SEKER",2.62097164232635e-13,2.00082397108403e-31,1.46778471479116e-14,0.000121898910020005,6.27923355305827e-08,0.999878038297324,4.38124483688544e-14
"SEKER","SEKER",4.51199690860155e-12,3.61955598214976e-33,1.79214549486121e-15,2.65825505723193e-05,8.23453025308271e-08,0.999973335099611,3.52463727405941e-16
"SEKER","SEKER",7.96854655874332e-11,4.62051410091419e-30,1.00036587741907e-14,0.000160950850577401,3.09274469467786e-07,0.999838739793032,2.22606859950883e-12
"SEKER","SEKER",1.05160601010644e-11,1.23544169298899e-34,6.38542308613588e-17,7.98684890045148e-06,6.75957974360085e-09,0.999992006381004,4.13036839872286e-18
"SEKER","SEKER",2.30595214098786e-12,1.31358014954149e-31,2.56001782509558e-13,0.000608001268864405,5.27302193859053e-07,0.99939147142629,9.01320464172762e-14
"SEKER","SEKER",9.00223577974243e-12,2.07521420850432e-35,3.98523282217475e-18,1.99287598684863e-06,1.17196630006955e-09,0.999998005943045,2.52378256244635e-19
"SEKER","SEKER",4.02112693721061e-11,1.56135334651727e-32,5.17980304899038e-15,6.74055489978314e-06,6.57517429247167e-06,0.999986684230589,1.96448043745131e-15
"SEKER","SEKER",9.5508443405743e-12,9.67997164783471e-35,5.25781450023488e-17,9.19862705555331e-06,4.02432483860795e-09,0.999990797339069,3.12721827362109e-18
"SEKER","SEKER",1.51427719163295e-11,1.55716031098367e-34,4.95978015731606e-17,2.96836083987136e-06,2.47050689924573e-08,0.999997006918948,4.14898466031608e-18
"SEKER","SEKER",1.06560478955498e-11,8.54298481087686e-35,3.25154763757343e-17,5.00730293877615e-06,5.47231017919659e-09,0.999994987214095,2.17363234096428e-18
"SEKER","SEKER",1.26970160827518e-11,3.37723663652034e-35,5.68318540011868e-18,1.25637048305431e-06,4.36773420695868e-09,0.999998739249086,4.24002258680103e-19
"SEKER","SEKER",9.05541628372316e-12,3.55485715523431e-35,1.01290898113075e-17,3.61081179520467e-06,1.70863406375461e-09,0.999996387470515,6.17789608233555e-19
"SEKER","SEKER",7.28111779862764e-11,1.04365349674101e-30,3.78570931675705e-14,4.47189637752878e-05,9.60381787588618e-06,0.999945677145076,4.23862607813349e-13
"SEKER","SEKER",2.38240396889468e-12,8.13861093040368e-32,5.28399415101461e-15,2.86018829657893e-05,3.06833712143859e-07,0.999971091280923,1.14914821546176e-14
"SEKER","SEKER",3.81809185714589e-12,9.44060628090457e-33,1.00943755838857e-14,9.00637054092248e-05,1.29392483212832e-07,0.999909806898278,1.80727882789213e-15
"SEKER","SEKER",5.77260220337552e-13,2.50590697298752e-31,1.28683499432073e-14,0.000129793779987822,6.65799199223894e-08,0.999870139639444,5.76636380207397e-14
"SEKER","SEKER",3.9525455606247e-11,6.70997638055127e-33,3.7650468603989e-15,7.26615013383981e-06,3.59202473132472e-06,0.999989141785605,7.58117945787282e-16
"SEKER","SEKER",1.90458205807839e-12,7.86019866083488e-32,2.69492373364461e-14,0.000113854647701783,3.00645863134854e-07,0.999885844704482,2.11535511636313e-14
"SEKER","SEKER",6.64782248576716e-11,8.17424667348209e-30,5.78089674365124e-15,0.000961278183154731,1.06597439665999e-08,0.999038711085282,5.33556254152662e-12
"SEKER","SEKER",1.25486843533147e-11,1.75306807266326e-33,1.5603660232085e-15,1.86510991391445e-05,1.62490317814301e-07,0.999981186397992,1.64683007826145e-16
"SEKER","SEKER",9.84224175051105e-12,6.87971532983794e-34,4.43041252176261e-16,1.37183922068822e-05,4.19657695227533e-08,0.999986239632181,4.1815783631828e-17
"SEKER","SEKER",8.78001680233029e-12,4.27549658821039e-35,1.56232118508091e-17,5.3285589673357e-06,1.69345304675154e-09,0.999994669738799,9.01953019370255e-19
"SEKER","SEKER",1.83065514345573e-10,5.39860668178294e-28,7.71637924149235e-16,0.0028489730986492,3.42324285017337e-10,0.997151025927284,4.48675908758807e-10
"SEKER","SEKER",9.17465399619175e-12,3.31941569060553e-34,2.93956123977499e-16,2.08407335438779e-05,1.21808603703515e-08,0.999979147076421,1.95439295077541e-17
"SEKER","SEKER",7.75712348242052e-12,7.70592961812123e-36,7.94885719683224e-19,8.80725047183455e-07,4.21351829310269e-10,0.999999118845844,5.16611361579911e-20
"SEKER","SEKER",1.95766109037907e-12,2.40238498893944e-32,5.58988134772452e-15,5.12549577206362e-05,1.1613136476532e-07,0.999948628908948,3.56325085903529e-15
"SEKER","SEKER",1.07595987340207e-11,8.49934950882379e-35,3.19201798841626e-17,4.87700089008382e-06,5.57116605825748e-09,0.999995117417184,2.13708314548703e-18
"SEKER","SEKER",4.92115076739344e-14,1.18617885922547e-28,3.92864418316919e-14,0.00130438347404676,6.30822247274694e-09,0.998695610141573,7.60688138769456e-11
"SEKER","SEKER",6.72942578071891e-12,1.07625161377366e-29,2.37456943536141e-15,0.000145678026561534,2.29569949452633e-08,0.999854299006702,3.0094010075697e-12
"SEKER","SEKER",1.96721851106864e-12,1.15141757624672e-31,9.1036025349139e-15,7.01340388772111e-05,1.5765605167046e-07,0.999929708303073,2.2177727307263e-14
"SEKER","SEKER",9.73492466739816e-12,1.4091372478619e-33,1.22886992461319e-15,2.25228635071304e-05,8.01279395205366e-08,0.999977396998817,1.24719876245935e-16
"SEKER","SEKER",4.41575084861178e-12,1.20261722118305e-32,7.04230697598251e-15,4.39106080853794e-05,2.53861298473116e-07,0.999955835526192,1.88407897203153e-15
"SEKER","SEKER",8.69250242851209e-12,2.17627137724987e-35,4.5589489453818e-18,2.33705853176299e-06,1.09159849754097e-09,0.999997661841177,2.81479502205468e-19
"SEKER","SEKER",2.78874957961602e-11,2.826498840077e-33,1.05383835411046e-15,3.92931144488069e-06,1.38358748332763e-06,0.999994687073183,1.89970598081188e-16
"SEKER","SEKER",1.19289247441161e-11,1.5528523618345e-34,6.3199637920883e-17,5.2582060012933e-06,1.32149178820339e-08,0.999994728567152,4.7713323646235e-18
"SEKER","SEKER",7.62282360922873e-13,1.17842225316597e-30,5.51817185494056e-15,9.49077755824963e-05,4.5234549152548e-08,0.999905046988858,2.42494942116008e-13
"SEKER","SEKER",8.99567225628171e-13,2.34544022685196e-31,4.46951809759873e-15,4.79320394548508e-05,8.68843395429027e-08,0.999951981075267,3.51631780408991e-14
"SEKER","SEKER",5.75281194874702e-12,3.19676264744542e-33,2.12446621961541e-15,2.83596943801811e-05,1.00993332011122e-07,0.999971539306533,3.25573132721748e-16
"SEKER","SEKER",2.06276292015925e-12,1.00577872324247e-32,4.57620264479096e-15,5.42167237689237e-05,7.78392578700156e-08,0.999945705434905,1.3609896588092e-15
"SEKER","SEKER",6.9411127285645e-09,1.17885848020706e-26,3.86553060804262e-15,0.0307795984409602,4.29480210827151e-10,0.969220353713797,4.04746466439507e-08
"SEKER","SEKER",8.96226164629701e-14,4.046336166089e-30,3.20145649448023e-15,0.000120100483560526,7.69699425881552e-09,0.99987989181866,6.92857832019463e-13
"SEKER","SEKER",9.04708229356315e-12,1.83268034657035e-35,3.13528820511759e-18,1.6733539812343e-06,1.10193644626184e-09,0.999998325535035,2.01683889632152e-19
"SEKER","SEKER",4.48594310895196e-12,6.29072179786076e-29,9.03511452187189e-16,0.000599749692298659,8.15898459881923e-10,0.99940024946568,2.16359288161973e-11
"SEKER","SEKER",8.39557630622452e-12,2.13891518389776e-35,4.67471012876321e-18,2.55271889470348e-06,9.75539471587619e-10,0.99999744629717,2.83250953721735e-19
"SEKER","SEKER",8.45240659405611e-12,6.24964107768414e-34,3.85576696560646e-16,1.50784654474681e-05,2.84481628760143e-08,0.999984893077937,3.64050457291268e-17
"SEKER","SEKER",2.65001649056008e-10,7.96715208975e-31,1.04799972984505e-14,2.16173917785835e-05,8.54833684255362e-06,0.999969834006141,2.25272557708243e-13
"SEKER","SEKER",8.25211725646136e-12,1.36114272225381e-35,2.08302747282523e-18,1.51862655607006e-06,7.04876851382309e-10,0.999998480660315,1.31157070625988e-19
"SEKER","SEKER",3.77202077023159e-10,4.15343080577487e-28,6.69185037865998e-15,0.00228019974676447,9.9221518042131e-09,0.997719789447886,5.05988845701004e-10
"SEKER","SEKER",1.01912310101623e-11,3.70484553830026e-35,8.89756770099327e-18,2.56752896423575e-06,2.50863784673937e-09,0.999997429952207,5.84202337326019e-19
"SEKER","SEKER",4.36758358625016e-12,1.0886188611555e-32,2.11574066993587e-14,0.000168116784373118,1.43118968868554e-07,0.999831740092266,2.88165420252927e-15
"SEKER","SEKER",7.22816934004793e-12,4.89602160634216e-33,2.30269987149571e-15,1.89390273019809e-05,2.30300824894182e-07,0.999980830664642,4.8071296580493e-16
"SEKER","SEKER",8.16585075935711e-12,7.76213270642543e-34,4.1544597847713e-16,1.28667648314301e-05,3.98037052096046e-08,0.999987093423297,4.46662376503232e-17
"SEKER","SEKER",6.59289834357726e-13,4.70495285440938e-32,6.37374878367139e-15,5.98999949221157e-05,7.59200364965786e-08,0.999940024084369,6.88691441883359e-15
"SEKER","SEKER",7.88778329102139e-09,5.62376048007138e-27,1.09148555196294e-15,0.0100516853235788,4.3393042238211e-10,0.98994829578546,1.05692462321167e-08
"SEKER","SEKER",1.36354124367108e-13,8.20737129875931e-31,1.42108062810324e-14,0.000171221869747913,3.19045590339444e-08,0.99982874622535,1.91954021957137e-13
"SEKER","SEKER",2.38919114389629e-11,4.93104222891866e-33,1.20020369022441e-15,3.12317327012036e-06,2.26324892736107e-06,0.999994613553909,3.21927568025571e-16
"SEKER","SEKER",9.42575525561089e-12,7.92848025329789e-35,3.80592664254565e-17,7.7373512835516e-06,3.34181191112699e-09,0.999992259297479,2.25934550343624e-18
"SEKER","DERMASON",7.29863773104101e-09,2.56013185850789e-22,1.29242558160871e-13,0.886978460423515,1.230187399976e-10,0.0947054023640895,0.0183161297906094
"SEKER","DERMASON",1.08487329903918e-08,4.48007205889385e-22,7.08359105415073e-15,0.765868026505031,7.54739893536282e-12,0.22746346623973,0.00666849639895142
"SEKER","SEKER",1.69474979430634e-12,4.1680437074704e-27,1.87127926018506e-15,0.00568890860209662,7.52851136834215e-11,0.994311087846696,3.47422577888927e-09
"SEKER","SEKER",1.00904321490861e-11,1.64525181589855e-34,1.2450578665236e-16,1.45709787313824e-05,6.65113865686298e-09,0.999985422360039,7.30073288937405e-18
"SEKER","SEKER",1.50784284825707e-12,2.2975527867306e-32,1.77237960279145e-14,0.000133876712993632,1.12178830822774e-07,0.999866011106645,5.12265121769922e-15
"SEKER","SEKER",4.7870640310442e-12,1.23695024327048e-32,2.65469598472106e-15,1.31870037357539e-05,4.34459867349454e-07,0.999986378531606,1.13580104931991e-15
"SEKER","SEKER",3.35867121496175e-11,3.03816681660908e-32,3.98569512698336e-15,4.0036021039379e-06,9.86441616463238e-06,0.999986131948138,3.0342468499135e-15
"SEKER","SEKER",5.94226422179743e-12,4.0936586512539e-33,1.82735886429586e-15,1.75550090435358e-05,1.74167433018691e-07,0.999982270817579,3.63413681745897e-16
"SEKER","SEKER",2.51557662628298e-11,4.37421288357077e-34,1.64060394686505e-16,2.550250693198e-06,1.93566808003196e-07,0.999997256157343,1.6268964550456e-17
"SEKER","SEKER",7.98178746628062e-12,3.27717100275838e-28,4.87888625082115e-15,0.00125008677881514,3.50247000416731e-09,0.998749909497732,2.1299649372762e-10
"SEKER","SEKER",4.57202507986141e-11,3.96634911894343e-30,9.08160271005273e-15,1.43640800010124e-05,7.4481320901994e-06,0.999978187741342,8.37145920299364e-13
"SEKER","SEKER",1.03097742746536e-11,6.18089130289058e-35,2.16276306190668e-17,4.48582135836755e-06,3.6455059116795e-09,0.999995510522826,1.37434703160113e-18
"SEKER","SEKER",3.64077880882565e-13,2.27283717229976e-31,1.21627073847189e-14,8.54235529939786e-05,9.40414033286079e-08,0.999914482405185,4.14791109215506e-14
"SEKER","SEKER",6.75857906728373e-12,1.97269845748124e-33,7.75482857273641e-16,1.21783235921835e-05,9.71959400792185e-08,0.999987724473708,1.29753904922217e-16
"SEKER","SEKER",8.94846498108749e-12,1.29457371361017e-35,1.70639600814505e-18,1.14013419778143e-06,8.54188167169531e-10,0.999998859002666,1.12530822383613e-19
"SEKER","SEKER",6.29199069145413e-13,5.47282305062197e-32,2.474655791942e-14,0.000166965655725954,9.57524758206211e-08,0.999832938591131,1.32361338447998e-14
"SEKER","SEKER",5.48680461276788e-11,3.7449668292216e-24,3.93416719890978e-16,0.280795682598556,1.75935961335802e-13,0.719190496777366,1.38205690332481e-05
"SEKER","SEKER",1.47401598830317e-13,1.20642591879476e-30,1.15946466948506e-15,3.01835821092479e-05,1.70471538469948e-08,0.999969799370481,1.07175798086586e-13
"SEKER","SEKER",8.55490638352401e-12,6.50393417436047e-34,6.12867081184245e-16,2.58359948612282e-05,2.35671175203304e-08,0.999974140429466,4.71833478666981e-17
"SEKER","SEKER",5.44467670966218e-12,2.55244875045459e-33,1.05544349696458e-15,1.64466252542812e-05,8.72455517292518e-08,0.999983466123748,1.88578990917286e-16
"SEKER","SEKER",1.30943434552517e-11,7.84094093331004e-26,1.68975872190594e-16,0.0158400018062424,2.07106815524773e-12,0.984159931809388,6.63692038314744e-08
"SEKER","SEKER",4.1981943031245e-13,6.83804628408164e-32,4.57282222275822e-15,3.8511657887825e-05,8.14786432945153e-08,0.999961406863037,7.77814224509308e-15
"SEKER","SEKER",2.734082768046e-12,8.67380821373813e-33,3.86705135655504e-15,3.58672080401284e-05,1.25829856062267e-07,0.999964006959365,9.99940874563045e-16
"SEKER","SEKER",4.19526518541091e-12,7.75211539086988e-29,2.01537757611528e-13,0.00130976540845192,2.74487774508587e-07,0.998689960006331,9.30458136826631e-11
"SEKER","SEKER",4.95367063861658e-12,8.77186842046239e-32,7.84956898079567e-15,2.41020945293684e-05,8.69694532540492e-07,0.999975028205964,1.2907788969568e-14
"SEKER","SEKER",1.03205211186653e-11,1.13713583228612e-34,5.21691588062704e-17,6.91437995965966e-06,6.32432598127805e-09,0.999993079285394,3.42637113204398e-18
"SEKER","SEKER",3.43997688944073e-12,1.16728619665911e-32,4.04669820085236e-15,2.84722623300412e-05,2.10700237916759e-07,0.999971317033987,1.34994230018092e-15
"SEKER","SEKER",8.90349458899054e-12,2.91621797598069e-35,7.49575175451534e-18,3.12877440164828e-06,1.39650386759968e-09,0.999996869820191,4.54062622639153e-19
"SEKER","SEKER",3.0702015105834e-13,3.66361616574324e-30,3.41729406482089e-15,7.06316836809506e-05,2.8702819349517e-08,0.999929339612631,5.57809940532754e-13
"SEKER","SEKER",6.08225198768929e-11,7.38140755989789e-24,2.4670832477382e-17,0.0805468275089715,3.83927192084088e-14,0.91944591403664,7.25839352785689e-06
"SEKER","SEKER",1.00099581012079e-11,3.54927539277911e-35,8.77634420029197e-18,2.7074164864473e-06,2.25561340301191e-09,0.99999729031789,5.63899877160678e-19
"SEKER","SEKER",6.98423640884995e-12,1.88249310481219e-33,2.43358890212225e-15,5.21263796800925e-05,5.03758088073206e-08,0.999947823237524,2.21717516138173e-16
"SEKER","SEKER",8.70787150108843e-12,2.7735708715471e-35,7.04173958990753e-18,3.125832691104e-06,1.27317611156935e-09,0.999996872885425,4.23852824030046e-19
"SEKER","SEKER",1.21373215832052e-11,7.36908997125069e-35,2.0723750572025e-17,2.91231059698001e-06,7.04284303437955e-09,0.999997080634423,1.48819091355818e-18
"SEKER","SEKER",7.62917604436075e-12,1.40075190655458e-33,1.94707445949344e-15,5.21111469367297e-05,3.81298446800676e-08,0.999947850715587,1.56961767468595e-16
"SEKER","SEKER",9.04610120566534e-11,3.02010793743001e-27,1.07885027796344e-15,0.00218094738109209,6.69489683759468e-10,0.997819049744239,2.11471767445018e-09
"SEKER","SEKER",1.55713034627142e-11,1.93938213168511e-27,4.82862640151273e-16,0.000461077731413683,1.14775722595145e-09,0.999538920426281,6.78976307121734e-10
"SEKER","SEKER",4.05654212289319e-12,1.31242204583161e-32,1.19449713339242e-14,7.05820091809376e-05,2.41599977896198e-07,0.99992917638677,2.44777949847417e-15
"SEKER","SEKER",1.17932578719427e-10,1.3686777423052e-26,3.14219890638499e-14,0.00890876573825658,8.28045781405021e-09,0.991091195061208,3.08021140928536e-08
"SEKER","SEKER",1.22163135216983e-11,5.47037174551365e-34,3.6263015046224e-16,1.12633080304155e-05,4.61090471789679e-08,0.999988690570706,3.0412984547252e-17
"SEKER","SEKER",9.48541619924099e-14,3.76278701955413e-29,1.33710835651856e-14,0.00033367087730583,1.3273480633117e-08,0.999666315837391,1.17148078499627e-11
"SEKER","SEKER",4.45624004383274e-13,1.11425939038842e-31,5.8712223331252e-15,3.77612242691644e-05,1.23375382951979e-07,0.999962115399883,1.35120086104401e-14
"SEKER","SEKER",1.61560559787574e-12,2.46957205173512e-32,3.0152395027043e-15,2.12072663601147e-05,1.75723033848823e-07,0.999978617008985,2.31259478983584e-15
"SEKER","SEKER",2.87100301601393e-12,1.80482399635149e-32,5.48843546932381e-15,3.13973462026335e-05,2.60927495777622e-07,0.999968341723423,2.23987866169967e-15
